YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2016,8,130342,27765,car gurus
2016,8,122298,28191,car gurus
2017,7,136000,28888,craigslist
2017,7,33000,35988,carmax
2017,7,84013,31590,carvana
2018,6,91373,26998,cargurus
2018,6,47704,31741,cargurus
2018,6,117128,27849,cargurus
2019,5,21000,35995,craigslist
2019,5,44898,31590,carvana
2020,4,40716,"39,999",edmunds
2020,4,42279,35990,edmunds
2021,3,76860,27990,carvana
2022,2,42000,36998,carmax
2022,2,"23,299",31377,carvana
2023,1,31000,37955,craigslist
2023,1,,,